City_Name,PM2_5_Mean,Greenness_Public_Share,Projected_PM25_Drop,Deviation_Analysis,Vegetation_Recommendation,Policy_Priority
delhi,114.5,24.3,5.6567555812350605,"CRITICAL: Pollution much higher than predicted. CHECK EXTERNAL FACTORS: Local festivals (fireworks), agricultural burning, or geography (valley effect).","High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Implement Low Emission Zones (Traffic is major source)
khulna,61.236,23.8,3.025302050414936,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Implement Low Emission Zones (Traffic is major source)
bhopal,61.0,21.7,3.013642711400337,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Maintain current standards
chandigarh,60.0,17.3,2.964238732524919,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
sylhet,59.77,26.8,2.9528758173835783,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Maintain current standards
singrauli,56.667,13.9,2.799575270933161,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
chittagong,56.362,15.1,2.7845070573761603,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
kolkata,52.2,13.9,2.578887697296679,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
baghdad,48.5,18.4,2.3960929754576483,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
dubai,45.759,12.9,2.26067666936013,"CRITICAL: Pollution much higher than predicted. CHECK EXTERNAL FACTORS: Local festivals (fireworks), agricultural burning, or geography (valley effect).","High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
mumbai,43.439,17.6,2.1460594383691713,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
kanpur,40.0,16.0,1.9761591550166173,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
doha,38.0,14.0,1.8773511972657815,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
capital governorate,37.5,16.3,1.8526492078280796,"CRITICAL: Pollution much higher than predicted. CHECK EXTERNAL FACTORS: Local festivals (fireworks), agricultural burning, or geography (valley effect).","High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
surat,36.667,18.7,1.8114956934248525,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
johannesburg,35.466,14.8,1.7521615147954819,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
indore,33.333,16.1,1.6467828278542207,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
erzurum,32.738,6.9,1.6173874604233482,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",URGENT: Micro-parks & Green Roofs required (Greenness < 10%); Implement Low Emission Zones (Traffic is major source)
antalya,32.531,12.6,1.6071608367961367,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm) + Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
islamabad,32.294,20.3,1.5954520938026633,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Maintain current standards
chiang rai,32.0,11.8,1.5809273240132917,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
anantapur,31.0,12.8,1.5315233451378774,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
jabalpur,31.0,17.3,1.5315233451378774,Expected performance consistent with model.,"High PM-Trapping Species (Broadleaf/Hairy/Waxy leaves like Plane, Linden, Elm)",Improve street tree connectivity
belgaum,30.0,13.0,1.4821193662624594,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
kuala lumpur,28.271,19.8,1.3966998867868696,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
tehran,28.153,23.4,1.39087021727957,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Implement Low Emission Zones (Traffic is major source)
skopje,27.594,13.7,1.3632533930882111,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
bareilly,27.0,12.4,1.3339074296362163,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
nellore,27.0,15.4,1.3339074296362163,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
chiang mai,26.5,19.0,1.3092054401985074,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
rajkot,26.5,21.2,1.3092054401985074,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
kayseri,25.558,13.0,1.2626668920978652,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
seoul,25.397,15.7,1.2547128514989225,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
aguascalientes,25.0,7.0,1.235099471885384,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",URGENT: Micro-parks & Green Roofs required (Greenness < 10%); Implement Low Emission Zones (Traffic is major source)
kurnool,24.5,21.7,1.210397482447675,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
chennai,24.429,23.4,1.2068897999475219,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
thessaloniki,24.163,16.2,1.1937483415666605,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
bene beraq,23.8,15.5,1.1758146972348875,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
bangkok,23.417,14.9,1.1568929733256006,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
gwangju,22.922,19.0,1.1324380037822728,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
daegu,22.851,23.1,1.128930321282116,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
omza,22.412,8.4,1.1072419745558086,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),URGENT: Micro-parks & Green Roofs required (Greenness < 10%)
craiova,22.205,16.6,1.0970153509285971,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ndola,22.057,12.2,1.0897035620550355,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
vijayawada,22.0,25.0,1.0868875352591374,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
katowice,21.745,53.1,1.0742895206459089,"CRITICAL: Pollution much higher than predicted. CHECK EXTERNAL FACTORS: Local festivals (fireworks), agricultural burning, or geography (valley effect).",Native Ornamental Species (Focus on biodiversity),Implement Low Emission Zones (Traffic is major source)
irbid,21.7,19.6,1.0720663415965141,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
istanbul,21.392,20.6,1.056849916102884,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Implement Low Emission Zones (Traffic is major source)
sivas,21.224,9.2,1.0485500476518155,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",URGENT: Micro-parks & Green Roofs required (Greenness < 10%); Implement Low Emission Zones (Traffic is major source)
busan,21.024,14.8,1.0386692518767333,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
coimbatore,21.0,14.8,1.037483556383723,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
eskisehir,20.952,14.5,1.0351121653977025,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
visalia,20.7,16.6,1.0226623627210998,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ostrava,20.67,12.7,1.0211802433548343,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
talca,20.55,13.1,1.0152517658897864,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ankara,19.683,13.2,0.9724185162048009,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
jeju,19.114,12.6,0.9443076522246905,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
puebla,18.667,4.9,0.9222240736673797,Expected performance consistent with model.,"Traffic-Tolerant Species (Hardy trees like Gleditsia, Maple, Ash)",URGENT: Micro-parks & Green Roofs required (Greenness < 10%); Implement Low Emission Zones (Traffic is major source)
quito,18.316,21.4,0.9048832770821065,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
kefar sava,18.1,16.7,0.8942120176450175,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ramat gan,17.9,17.9,0.8843312218699353,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
modena,17.635,20.4,0.8712391674679516,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Implement Low Emission Zones (Traffic is major source)
hadera,17.5,14.4,0.8645696303197674,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
ploiesti,17.275,11.4,0.8534537350728009,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity; Implement Low Emission Zones (Traffic is major source)
rzeszow,17.107,10.4,0.8451538666217289,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
